day, country_id, non_infected, infected, immune
1, 0, 30, 2, 0 
1, 1, 31, 3, 0 
1, 2, 27, 0, 0 
1, 3, 20, 2, 0 
1, 4, 32, 1, 0 
1, 5, 36, 0, 0 
1, 6, 26, 0, 0 
1, 7, 27, 2, 0 
1, 8, 21, 2, 0 
1, 9, 28, 1, 0 
1, 10, 30, 0, 0 
1, 11, 37, 2, 0 
1, 12, 33, 2, 0 
1, 13, 21, 0, 0 
1, 14, 24, 1, 0 
1, 15, 30, 1, 0 
1, 16, 26, 0, 0 
1, 17, 19, 1, 0 
1, 18, 24, 1, 0 
1, 19, 34, 2, 0 
1, 20, 23, 3, 0 
1, 21, 33, 4, 0 
1, 22, 21, 0, 0 
1, 23, 30, 1, 0 
1, 24, 45, 2, 0 
1, 25, 21, 5, 0 
1, 26, 31, 0, 0 
1, 27, 42, 1, 0 
1, 28, 36, 0, 0 
1, 29, 27, 2, 0 
1, 30, 35, 2, 0 
1, 31, 37, 1, 0 
1, 32, 35, 2, 0 
1, 33, 28, 2, 0 
1, 34, 36, 1, 0 
1, 35, 22, 2, 0 
1, 36, 36, 1, 0 
1, 37, 25, 3, 0 
1, 38, 35, 1, 0 
1, 39, 30, 3, 0 
1, 40, 28, 1, 0 
1, 41, 32, 2, 0 
1, 42, 30, 2, 0 
1, 43, 25, 3, 0 
1, 44, 27, 0, 0 
1, 45, 21, 1, 0 
1, 46, 37, 0, 0 
1, 47, 31, 4, 0 
1, 48, 24, 2, 0 
1, 49, 30, 0, 0 
1, 50, 26, 1, 0 
1, 51, 33, 0, 0 
1, 52, 25, 3, 0 
1, 53, 26, 2, 0 
1, 54, 29, 3, 0 
1, 55, 41, 2, 0 
1, 56, 36, 1, 0 
1, 57, 21, 2, 0 
1, 58, 29, 2, 0 
1, 59, 31, 1, 0 
1, 60, 28, 1, 0 
1, 61, 27, 2, 0 
1, 62, 41, 1, 0 
1, 63, 28, 2, 0 
1, 64, 34, 2, 0 
1, 65, 38, 0, 0 
1, 66, 29, 1, 0 
